-2.902,0.405,1.287,-0.111,0.095,-0.002,0.419,-0.415,0.212,-0.096,0.224,0.267,0.262,-0.254,0.242,-0.043,-0.163,0.282,-0.264,0.159,-0.166,0.033,0.058,-0.165,-0.092,0.052,-0.098
-2.799,-0.658,0.893,0.257,0.236,-0.035,-0.017,-0.010,0.096,0.003,-0.034,-0.014,0.010,0.040,0.070,-0.192,0.112,-0.016,-0.090,0.053,0.067,-0.127,0.004,0.147,0.162,-0.041,0.059
-2.366,0.917,0.270,-0.946,0.910,-0.661,0.423,-0.433,0.852,-0.967,0.603,0.452,0.532,-0.435,0.212,0.080,-0.203,0.233,-0.164,0.094,-0.181,0.124,-0.119,0.077,0.062,0.030,0.032
-3.263,0.032,0.691,0.186,0.375,-0.457,0.700,-0.435,0.435,-0.214,0.032,0.038,0.210,-0.237,0.198,0.014,-0.197,0.318,-0.220,0.057,0.075,-0.148,0.138,-0.080,0.076,0.105,-0.032
-1.833,0.166,0.217,-0.824,0.628,-0.607,1.079,-1.189,1.196,-0.758,0.511,0.616,0.645,-0.384,0.183,-0.104,0.124,-0.254,0.114,0.100,-0.441,0.385,-0.215,0.343,0.448,0.583,-0.254
-3.858,1.218,1.253,-0.378,0.918,-0.791,0.754,-0.236,0.254,-0.114,-0.011,-0.171,-0.233,0.233,-0.229,0.122,-0.022,-0.036,0.044,-0.047,0.080,-0.037,0.001,0.048,0.073,0.039,0.042
-0.723,-2.254,1.532,-0.614,0.704,-0.161,0.430,-0.464,0.503,-0.282,0.220,-0.032,-0.062,-0.217,0.033,0.246,-0.389,0.368,-0.106,0.129,-0.176,0.396,-0.483,0.375,-0.107,-0.221,0.056
-2.667,-0.304,1.460,-0.469,0.960,-0.394,-0.195,0.276,-0.034,-0.089,0.089,0.079,0.160,-0.181,0.417,-0.491,0.280,-0.247,0.185,-0.135,0.218,-0.130,0.016,0.065,0.044,0.208,-0.231
-1.792,-1.243,1.553,-0.595,0.778,-0.194,0.175,-0.618,0.768,-0.442,0.459,0.711,0.654,-0.190,-0.103,0.197,-0.260,0.480,-0.409,0.148,-0.032,-0.083,-0.014,0.141,0.163,0.044,0.038
-3.945,2.245,1.020,-0.856,1.143,-1.112,1.221,-0.678,0.757,-0.664,0.453,0.282,0.184,-0.065,0.014,-0.017,-0.017,-0.003,-0.002,-0.001,-0.013,0.031,-0.077,0.127,0.129,0.184,-0.115
-2.763,-0.114,1.375,-0.397,0.753,-0.272,0.005,-0.112,0.327,-0.194,0.061,0.122,0.230,-0.119,0.060,-0.043,-0.012,0.057,-0.049,-0.005,0.112,-0.126,0.017,0.101,0.115,0.027,-0.021
-2.799,-0.005,1.389,-0.566,0.940,-0.569,0.570,-0.587,0.704,-0.209,-0.130,0.006,0.311,-0.259,0.126,0.006,-0.039,0.003,0.057,-0.069,0.088,-0.051,-0.039,0.354,0.477,0.597,-0.258
-2.151,-1.062,1.916,0.023,-0.183,1.004,-0.900,-0.342,0.476,0.119,-0.135,0.416,0.594,-0.158,-0.023,-0.128,0.117,0.009,-0.152,0.068,0.072,-0.166,0.172,-0.121,0.027,0.226,-0.213
-3.298,-0.768,1.413,0.143,0.842,-0.796,0.849,-0.433,0.541,-0.541,0.581,0.516,0.425,-0.177,0.075,-0.049,0.077,-0.200,0.237,-0.098,-0.020,0.191,-0.464,0.712,0.445,0.213,0.005
-2.677,-0.269,1.143,-0.287,0.590,-0.288,0.398,-0.541,0.680,-0.309,0.107,0.129,0.099,0.164,-0.470,0.456,-0.227,0.178,-0.034,-0.064,0.210,-0.168,-0.023,0.258,0.272,0.009,0.139
-0.059,1.633,-0.615,-2.195,0.471,0.828,-1.961,0.152,1.198,-1.009,-0.659,-0.824,0.282,-0.764,0.238,0.369,-0.239,-0.138,0.385,-0.151,-0.175,0.282,-0.069,-0.052,0.085,0.222,-0.144
-3.497,3.051,-0.130,-0.992,0.699,-0.857,1.129,-0.800,0.951,-0.992,0.723,0.507,0.289,-0.065,-0.204,0.317,-0.321,0.387,-0.334,0.177,-0.281,0.192,-0.170,0.084,-0.008,-0.034,0.006
-1.635,-0.808,1.117,-0.315,0.191,-0.033,0.201,-0.056,-0.108,0.061,-0.037,-0.173,0.075,-0.351,0.229,0.088,-0.035,-0.182,0.241,-0.094,0.130,-0.091,-0.047,0.263,0.276,0.197,-0.035
-1.567,2.680,1.743,-1.210,-1.180,1.028,1.126,-1.287,-0.509,0.490,1.277,1.061,-0.522,0.183,0.657,-0.159,-0.540,0.433,0.371,-0.281,-0.195,0.419,-0.054,-0.025,0.314,0.185,0.088
-0.411,1.576,0.717,-2.920,1.546,-0.023,-0.965,-0.504,1.373,-0.486,-0.807,-0.333,0.806,-0.754,-0.015,0.314,0.051,-0.413,0.298,-0.054,0.123,-0.194,0.089,0.075,-0.018,-0.197,-0.074
-2.170,-0.623,2.755,-0.965,0.806,0.325,-0.179,-1.314,1.644,-0.394,-0.159,0.626,1.188,-0.536,0.324,-0.691,0.589,-0.372,-0.164,0.156,-0.039,0.014,-0.401,0.546,0.067,0.295,-0.333
-3.164,0.774,1.492,-0.547,0.737,-0.676,1.089,-0.676,0.442,-0.141,0.024,-0.211,-0.229,-0.025,0.205,-0.075,-0.099,0.157,-0.137,0.097,-0.148,0.091,-0.086,0.104,0.059,-0.047,0.068
-1.515,-1.284,1.774,-0.652,0.687,-0.005,-0.276,0.062,-0.197,0.256,0.149,0.401,0.336,-0.232,0.562,-0.733,0.446,-0.342,0.121,-0.033,0.128,-0.123,0.094,-0.066,-0.023,0.053,-0.092
-2.465,0.273,2.019,-0.599,0.258,0.226,0.246,-0.760,0.604,-0.209,0.303,0.387,0.229,-0.083,0.176,-0.249,0.179,-0.246,0.254,-0.171,0.245,-0.152,0.074,0.146,0.299,0.475,-0.269
-2.892,0.278,1.465,-0.525,0.773,-0.661,1.031,-0.707,0.516,-0.359,0.411,0.096,-0.228,0.037,0.373,-0.289,-0.043,0.131,0.023,-0.063,-0.002,0.045,0.008,0.099,0.233,0.299,-0.112
-2.418,0.165,1.644,-1.207,1.519,-0.783,0.139,-0.113,0.407,-0.235,0.043,0.234,0.527,-0.344,0.286,-0.419,0.414,-0.494,0.161,0.024,-0.045,-0.015,-0.054,0.219,0.109,-0.143,0.013
