-329.847,392.058,261.467,147.255,30.490
-377.560,119.014,27.609,7.864,39.880
-444.128,170.239,55.284,29.431,17.968
-460.206,128.898,8.262,29.898,33.366
-350.994,132.231,29.969,31.886,19.823
-408.660,-7.023,-54.732,-43.751,-20.400
-91.777,100.045,61.629,125.512,38.536
-250.524,74.678,-59.478,-16.167,15.149
-469.273,110.525,59.297,31.573,42.616
-453.630,162.556,-35.583,25.658,-35.972
-322.588,123.025,10.756,9.950,-1.490
-428.763,132.602,43.966,35.624,10.051
-95.613,151.910,-17.072,26.212,-4.919
-488.192,138.361,37.356,28.483,31.115
-170.793,47.127,-95.359,-31.647,45.179
-84.192,75.650,32.820,-22.152,-27.756
-419.030,56.107,-53.391,18.863,-75.362
-359.344,101.207,58.045,33.770,26.776
44.537,159.833,18.638,7.649,-20.449
-49.562,165.093,-2.059,-4.980,-40.747
-443.329,196.826,141.621,105.606,20.650
-470.467,94.289,42.945,22.467,-17.576
-179.811,132.775,-15.602,16.652,27.479
-27.887,78.660,-109.337,-24.124,-32.901
-406.201,123.074,30.875,26.775,20.180
-217.955,103.165,-25.307,10.990,6.244
-344.251,100.466,-33.660,2.734,22.271
-344.863,85.079,24.952,22.623,44.539
-349.266,74.774,30.333,25.599,12.758
-28.364,112.480,-32.932,30.819,7.147
-52.785,66.372,3.243,-45.773,-34.010
-380.772,49.997,32.517,4.999,-6.233
-314.101,87.748,21.185,18.904,3.993
-353.201,10.043,23.289,23.499,20.366
-443.053,79.205,25.061,24.504,36.437
-437.565,21.982,-17.404,-9.866,-39.235
-66.875,125.330,7.495,2.032,-37.126
-207.124,69.234,11.068,-21.624,26.079
-133.179,122.406,-12.062,23.224,-7.914
-44.920,165.450,-14.372,23.077,-12.468
-40.713,116.932,-22.886,4.309,-66.803
-486.562,63.125,40.969,28.599,18.156
-411.482,149.676,57.116,43.377,17.274
-403.204,162.394,43.077,22.906,42.174
-424.390,143.761,18.022,36.107,5.734
-466.731,123.261,0.981,28.979,-17.326
-434.964,157.064,48.754,26.973,-1.544
-436.220,127.219,12.105,13.789,24.695
-393.541,102.070,3.714,11.579,6.335
-446.973,91.225,61.811,35.832,-17.569
-91.261,0.205,-55.681,34.619,41.955
-478.959,115.107,29.197,29.676,58.466
-429.554,77.477,14.178,9.820,-5.636
-463.821,113.807,26.247,5.897,16.071
-329.346,131.231,20.420,-12.901,-15.472
-501.776,169.926,66.601,29.583,-11.361
-468.412,95.635,0.511,13.438,4.071
-413.569,119.766,70.405,45.269,-30.953
89.103,198.101,-22.298,20.035,-18.320
23.977,-8.000,-76.132,-35.026,30.698
-430.447,101.044,97.736,66.828,-2.718
-177.309,69.450,47.022,-41.700,25.902
-465.082,53.209,-35.597,-22.491,0.133
-74.021,153.325,-30.446,19.161,-11.073
-86.723,165.991,34.582,-9.363,-21.961
-171.727,147.412,41.685,45.526,-19.898
-189.655,25.703,16.822,17.302,-5.229
-30.563,-62.372,-36.429,11.921,12.959
-192.433,-44.805,-33.646,33.508,52.921
-139.882,-53.931,-25.621,32.839,22.361
-62.176,-33.653,-78.461,14.574,33.930
44.435,22.099,30.635,-26.520,-14.622
-16.586,-59.287,-63.470,45.007,49.975
-17.980,-67.534,75.927,-54.635,36.163
38.032,2.968,105.077,-31.727,-26.938
44.538,7.492,-12.584,34.807,-11.851
-6.409,-25.420,74.629,-27.123,15.714
-240.817,-73.579,-23.410,7.090,-47.985
-188.081,-19.168,-25.461,9.337,36.111
-60.685,-26.849,60.554,-26.448,1.460
-198.121,-20.040,56.991,-11.631,10.857
-174.813,-31.023,-4.194,50.233,19.923
-74.279,-88.560,-52.807,14.093,22.074
-468.708,-96.299,-34.717,-37.903,-8.629
-474.143,-64.021,-35.894,-21.307,10.518
-481.638,-3.626,-43.567,-20.742,28.251
-41.191,63.111,-24.873,23.724,1.336
-449.288,48.254,15.831,18.403,31.516
-459.571,54.868,17.386,3.047,19.670
-141.586,38.680,-48.282,-29.562,-0.652
-407.698,100.276,75.302,49.719,36.506
-319.713,115.964,86.923,44.759,1.562
-447.134,155.252,53.718,66.942,27.683
-395.252,105.958,54.244,42.571,58.035
-376.326,118.288,39.426,35.787,21.841
-360.455,150.016,84.049,52.993,6.522
-398.799,209.844,116.946,90.513,28.025
-260.058,150.648,18.964,19.812,33.670
-453.426,126.851,44.663,28.713,15.665
-475.866,127.412,24.198,12.125,-10.075
-426.838,129.333,-12.982,9.363,4.287
-436.932,68.619,23.046,3.977,15.083
